Название,Страна,Жанр,Год выпуска,Возрастное ограничение,Продолжительность,Рейтинг
"На солнце, вдоль рядов кукурузы",Россия,Драмы,2023,6,89,8.4
Беспринципные в деревне,Россия,Комедии,2023,18,86,7.2
Нюрнберг,Россия,Драмы,2023,12,124,8.1
Моё прекрасное несчастье,США,Комедии,2023,18,91,7.7
Взломщик,США,Криминал,2023,18,91,6.5
Любовь-морковь: Восстание машин,Россия,Комедии,2023,16,94,7.2
Эскортница,Россия,Драмы,2023,18,90,6.3
Призрачный дом,Южная Корея,Ужасы,2021,18,101,6.0
Ложная память,Италия,Фантастика,2022,18,102,5.9
Операция «Фортуна»: Искусство побеждать,США,Боевики,2023,18,113,8.0
Праведник,Россия,Военные,2023,12,162,8.6
Сокровища партизанского леса,Россия,Приключения,2023,12,98,7.8
Аве Мария,США,Боевики,2021,18,93,6.3
Моя пиратская свадьба,США,Комедии,2022,18,100,7.4
Непослушная,Россия,Мелодрамы,2023,18,107,6.9
Горизонт в огне,Франция,Драмы,2022,18,134,8.1
Свободные отношения,Россия,Мелодрамы,2023,16,103,7.8
Рыцарь теней,Китай,Фэнтези,2019,6,104,7.8
При чём тут любовь?,Великобритания,Мелодрамы,2022,18,104,8.2
Профиль,США,Триллеры,2018,18,106,7.9
Здоровый человек,Россия,Драмы,2023,16,101,7.8
Мой любимый призрак,Германия,Фэнтези,2022,6,88,7.5
Девятаев,Россия,Военные,2021,12,105,8.3
Чёрная метка,США,Боевики,2022,16,94,6.3
Крушение,США,Боевики,2023,16,102,8.0
13 минут,Канада,Боевики,2021,18,104,6.5
Вакцина от коррупции (на казахском языке с русскими субтитрами),Казахстан,Комедии,2023,16,77,7.7
Стражи времени,США,Фэнтези,2022,6,99,6.7
Папы против мам,Россия,Комедии,2023,12,94,7.4
1+1,Франция,Драмы,2011,16,112,9.0
Бюро магических услуг,Австралия,Фэнтези,2023,12,115,6.8
Бурные воды,США,Триллеры,2019,18,93,5.0
В августе 44-го,Россия,Военные,2001,16,105,8.4
Дневники убийцы,Италия,Триллеры,2021,16,97,6.1
Человек-Паук: Возвращение домой,США,Фантастика,2017,16,133,8.3
Путешественница во времени,Франция,Драмы,2022,16,120,7.7
